id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
ae92cd73-a30f,1FTZR15X5YPB63674,9995.0,112798.0,B63674D,2000.0,Ford,Ranger,XLT,Pickup,Truck,4WD,Manual,E85,4.0,V,jorgensen chevrolet buick gmc,105 S Main,Ephraim,UT,84627.0
920f0dd4-c798,1G3WH52H6YF344461,,182155.0,126613,2000.0,Oldsmobile,Intrigue,GX,Sedan,Car,FWD,Automatic,Unleaded,,,5th gear motors llc,3112 E Platte Ave,Colorado Springs,CO,80909
2f86e089-5abc,1GNDT13W3Y2397175,5998.0,104955.0,GC4551A,2000.0,Chevrolet,Blazer,LS,SUV,Truck,4WD,Automatic,Unleaded,4.3,V,west hills mazda,1100 Oyster Bay Ave S,Bremerton,WA,98312
76839c52-8d2f,1G6KD54Y0YU306276,4980.0,143000.0,306276,2000.0,Cadillac,DeVille,Base,Sedan,Car,FWD,Automatic,Unleaded,,,ozark motor sports,5695 North 21st Street,Ozark,MO,65721
fbccc343-9997,1GCCS1951Y8289852,,124729.0,1700577,2000.0,Chevrolet,S-10,Base,Pickup,Truck,RWD,Automatic,Unleaded,,,ez auto ride llc,2857 Hershey Rd.,Elizabethtown,PA,17022
8b15857f-dd52,1GNDT13W3Y2397175,5998.0,104955.0,GC4551A,2000.0,Chevrolet,Blazer,LS,SUV,Truck,4WD,Automatic,Unleaded,4.3,V,west hills honda,520 West Hills Blvd,Bremerton,WA,98312
4e47179f-3437,4T1BF22K8YU092847,3900.0,,D458762,2000.0,Toyota,Camry,LE,Sedan,Car,FWD,Automatic,Unleaded,3.0,V,indy motorsports,450 St. Peters Howell Rd.,Saint Charles,MO,63304
27fc6f35-79b8,1GNDT13W5Y2364761,2500.0,133865.0,1368,2000.0,Chevrolet,Blazer,LS,SUV,Truck,4WD,Automatic,Unleaded,4.3,V,payless auto sales,3192 Lexington Road,Richmond,KY,40475
e3e78dab-1aa4,1G1YY22G015133890,16995.0,74026.0,B1410A,2001.0,Chevrolet,Corvette,Base,Coupe,Car,RWD,Automatic,Premium Unleaded / Unleaded,5.7,V,j & s autohaus six,1853 Burlington Mount Holly Rd,Mount Holly,NJ,08060
037d6295-5d0c,1LNHM85W41Y644117,,212944.0,77644117,2001.0,Lincoln,Town Car,Cartier L,Sedan,Car,RWD,Automatic,Unleaded,4.6,V,corwin public wholesale,217 38Th Street South,Fargo,ND,58103
36ed6333-2d2f,1B7HC13Y61J591044,,101400.0,,2001.0,Dodge,Ram 1500 Pickup,,Pickup,Truck,,,,,,ms coast auto brokers,9210 U.s. 49,Gulfport,MS,39503
252508a9-adf3,1GNCS13W51K244849,,94016.0,D8741,2001.0,Chevrolet,Blazer,LS,SUV,Truck,RWD,Automatic,Unleaded,4.3,V,jeff benson car company,34175 Michigan Ave,Wayne,MI,48184
6f91c53b-8dc1,1GNCS13W21K225045,,0.0,11257,2001.0,Chevrolet,Blazer,LS,SUV,Truck,RWD,Automatic,Unleaded,4.3,V,auto outlet inc,3712 Greensboro Avenue,Tuscaloosa,AL,35405
c72ee8da-b051,1HGCG22591A031368,,,031368,2001.0,Honda,Accord,EX Leather,Coupe,Car,FWD,Automatic,Unleaded,3.0,V,"j & s auto sales, l.l.c.",1347 Fort Campbell Boulevard,Clarksville,TN,37042
26f73784-b314,2C4GP44351R406613,,179638.0,406613,2001.0,Chrysler,Town & Country,LX,Minivan,Truck,FWD,Automatic,Unleaded,3.3,V,emj enterprise auto & truck,815 Hood Avenue,Leesburg,FL,34748
7218b6fb-8abd,1G4HP54K514235314,4365.0,101000.0,56T7137A,2001.0,Buick,LeSabre,CUSTOM,Sedan,Car,FWD,Automatic,Unleaded,3.8,V,jeff wyler kings nissan,9819 Kings Auto Mall Rd,Cincinnati,OH,45249
517fa51c-9e54,JHLRD18791C004859,4995.0,193461.0,TC004859,2001.0,Honda,CR-V,LX,SUV,Truck,4WD,Automatic,Unleaded,2.0,I,germain kia of columbus,1455 Auto Mall Dr,Columbus,OH,43228
cffc1658-028f,3FTNW21LX1MA50914,,160626.0,40182A,2001.0,Ford,F-250 Super Duty,XL,Pickup,Truck,4WD,Automatic,Unleaded,5.4,V,max ford,1108 W. Fort Scott Street,Butler,MO,64730
c821814e-1172,4T1BG22K41U790682,,0.0,T121011A,2001.0,Toyota,Camry,CE,Sedan,Car,FWD,Manual,Unleaded,2.2,I,blaise alexander chevrolet,405 Alexander Drive,Muncy,PA,17756
dc0e7fbc-bd96,1MEFM55SX1G650130,,175475.0,JR07695C,2001.0,Mercury,Sable,LS Premium,Sedan,Car,FWD,Automatic,Unleaded,3.0,V,fitzgerald used cars germantown,19501 Amaranth Drive,Germantown,MD,20874
40eacba3-ac72,2FTRX18L92CA20699,12950.0,103320.0,15890,2002.0,Ford,F-150,Lariat,Pickup,Truck,4WD,Automatic,Unleaded,5.4,V,asb auto wholesale,4707 Auburn Boulevard,Sacramento,CA,95841
6df8e1b3-561c,1GNDX03E92D168338,,322877.0,XX1T115645B,2002.0,Chevrolet,Venture,Plus,Minivan,Truck,FWD,Automatic,Unleaded,3.4,V,feldman chevrolet of lansing,2801 E Michigan Ave,Lansing,MI,48912.0
51449485-b944,5TDZT38A12S079904,6750.0,204243.0,JT079904,2002.0,Toyota,Sequoia,Limited,SUV,Truck,RWD,Automatic,Unleaded,4.7,V,phat's auto group,457 East San Bernardino Road,Covina,CA,91723
93844088-d6fd,JT3HN86R520384065,13900.0,167004.0,,2002.0,Toyota,4Runner,SR5,SUV,Truck,4WD,Automatic,Unleaded,3.4,V,davis autosports,104 Roxbury Industrial Center,Charles City,VA,23030
400f06b2-1682,1FTYR14V92PB62420,5250.0,177131.0,3818,2002.0,Ford,Ranger,XLT Appearance,Pickup,Truck,RWD,Automatic,Unleaded,3.0,V,swerve auto,1040 North Highway 17 92,Longwood,FL,32750
b80322b4-3887,2T1CF22PX2C590945,,229866.0,01957A,2002.0,Toyota,Camry Solara,SLE,Coupe,Car,FWD,Automatic,Unleaded,3.0,V,auto boutique,8281 Merrill Road,Jacksonville,FL,32277
9d820f1a-d5f3,JTHFN48Y820015747,4950.0,191696.0,015747,2002.0,Lexus,SC,430,Convertible,Car,RWD,Automatic,Premium Unleaded,4.3,V,allstar auto services llc,5900 West 9 Mile Road,Pensacola,FL,32526
95c16eee-d2fb,WBAGL63492DP60587,7812.0,100179.0,U2171540A,2002.0,BMW,7 Series,745i,Sedan,Car,RWD,Automatic,Premium Unleaded,4.4,V,chapman az,1717 East Baseline Road,Tempe,AZ,85283
a5662f50-0c78,JF1GD29692H516941,5495.0,211313.0,6941,2002.0,Subaru,Impreza,WRX,Sedan,Car,4WD,Automatic,Unleaded,2.0,H,custom auto sales,4211 Se 14th St,Des Moines,IA,50320
9794ff75-eb8a,1FAFP40472F132565,,178725.0,11795,2002.0,Ford,Mustang,Premium,Coupe,Car,RWD,Manual,Unleaded,3.8,V,best buy motors,3558 Wilkinson Blvd,Charlotte,NC,28208
175ab1d2-0053,1GCDT13W42K143281,4690.0,123448.0,U26643B2,2002.0,Chevrolet,S-10,LS,Pickup,Truck,4WD,Automatic,Unleaded,4.3,V,dan deery motor company,3900 Alexandra Dr,Waterloo,IA,50702
92dd5096-cc41,2G1FP32K222103646,15987.0,54750.0,PJ17779,2002.0,Chevrolet,Camaro,Base,Convertible,Car,RWD,Automatic,Unleaded,3.8,V,duncan mazda,125 Jennelle Rd,Christiansburg,VA,24073
fd2eb3de-eb35,1B7GL12X62S549392,,0.0,11087,2002.0,Dodge,Dakota,Base,Pickup,Truck,RWD,Manual,Unleaded,3.9,V,cicchino auto sales.,1915 N. Second St.,Millville,NJ,08332
a5000264-0b0e,JTHBF30G420082631,5900.0,132245.0,KU212A,2002.0,Lexus,ES,300,Sedan,Car,FWD,Automatic,Premium Unleaded,3.0,V,emerson-sondgerath,311 West Seymour,Kentland,IN,47951.0
e45c4bd4-983e,JS1GN7BA722104498,,31962.0,D71442B1,2002.0,Suzuki,,,,,,Automatic,,,,reed nissan orlando,3776 W. Colonial Drive,Orlando,FL,32808
d504fc52-c6d4,JTHBN30F420070599,6250.0,203341.0,20070599,2002.0,Lexus,LS,430,Sedan,Car,RWD,Automatic,Premium Unleaded,4.3,V,romain cadillac,7600 East Division Street,Evansville,IN,47715
34136708-5410,5TENL42N12Z107963,6950.0,210892.0,107963,2002.0,Toyota,Tacoma,Base,Pickup,Truck,RWD,Automatic,Unleaded,2.4,I,glory auto group,9701 Central Ave,Albuquerque,NM,87123.0
26d9091d-db2b,2C8GP64L42R538676,,183227.0,V1921A,2002.0,Chrysler,Town & Country,Limited,Minivan,Truck,FWD,Automatic,Unleaded,3.8,V,daniels long chevrolet,670 Automotive Drive,Colorado Springs,CO,80905
4bf42a8d-8a04,5FNRL18043B112332,2100.0,182000.0,10096,2003.0,Honda,Odyssey,EX,Minivan,Truck,FWD,Automatic,Unleaded,3.5,V,luxury cars xchange,15523 Weber Road 103,Lockport,IL,60446
74f3876f-755e,JN8DR09Y03W839314,4995.0,185919.0,13327,2003.0,Nissan,Pathfinder,SE,SUV,Truck,4WD,Automatic,Premium Unleaded,3.5,V,lithia chrysler jeep dodge of billings,2229 King Avenue West,Billings,MT,59102
fcd4b4de-6065,1GNEK13Z73J275371,8995.0,123874.0,T2335,2003.0,Chevrolet,Tahoe,LS,SUV,Truck,4WD,Automatic,Unleaded / E85,5.3,V,freehold nissan,4041 U.s. 9 N,Freehold,NJ,07728
5251abe0-49ef,KNDUP131236412140,,148809.0,A11556C,2003.0,Kia,Sedona,EX,Minivan,Truck,FWD,Automatic,Unleaded,3.5,V,jenkins mazda,1740 Sw College Road,Ocala,FL,34471
7e3bc1c9-42b7,1FTRX07213KD21337,,137586.0,KD21337,2003.0,Ford,F-150,XL,Pickup,Truck,RWD,Manual,Unleaded,4.2,V,mclarty daniel automotive,2201 Se Moberly Lane,Bentonville,AR,72712
2dae656f-4ba1,1GNDX13E33D268670,,213668.0,3D268670,2003.0,Chevrolet,Venture,LS,Minivan,Truck,FWD,Automatic,Unleaded,3.4,V,mclarty daniel chrysler dodge jeep ram,2201 Se Moberly Lane,Bentonville,AR,72712
a63e65c9-2bbe,1GKDT13S532151375,4995.0,169378.0,1375,2003.0,GMC,Envoy,SLT,SUV,Truck,4WD,Automatic,Unleaded,4.2,I,rg's hot deals auto sales llc,1606 East Bristol Street,Elkhart,IN,46514
571efc80-31ab,1FTRW08L63KD04446,4990.0,212991.0,427,2003.0,Ford,F-150,XLT,Pickup,Truck,4WD,Automatic,Unleaded,5.4,V,all cars and trucks,346 N Harding Hwy,Buena,NJ,08310
99edc766-9f15,WBADT43453G027735,5990.0,111755.0,11254,2003.0,BMW,5 Series,525i,Sedan,Car,RWD,Automatic,Premium Unleaded,2.5,I,nesh auto sales,2950 Midway Rd,Decatur,GA,30030
2a5ae936-0d04,1FMDU72K73ZA45719,4995.0,191739.0,P10154A,2003.0,Ford,Explorer,XLS,SUV,Truck,4WD,Automatic,Unleaded / E85,4.0,V,power ford lincoln,1107 North Coast Highway 101,Newport,OR,97365
e4272b1b-b4be,1J4GL48K03W669741,4995.0,191650.0,669741,2003.0,Jeep,Liberty,Sport,SUV,Truck,4WD,Manual,Unleaded,3.7,V,instant equity auto,10221 West Fairview Avenue,Boise,ID,83704
c2414cd0-a407,2G1WX12K339320331,23900.0,875.0,CON105,2003.0,Chevrolet,Monte Carlo,SS,Coupe,Car,FWD,Automatic,Unleaded,3.8,V,sears imported autos,13500 Wayzata Blvd,Minnetonka,MN,55305
3b32e8d4-1a50,1FTSW31P63ED82501,10995.0,263195.0,21-194,2003.0,Ford,F-350 Super Duty,XL,Pickup,Truck,4WD,Manual,Diesel,6.0,V,better cars,4773 South Broadway,Englewood,CO,80113
f764186d-0582,1FTRW07633KC18166,7991.0,122227.0,G0025AA,2003.0,Ford,F-150,XLT,Pickup,Truck,RWD,Automatic,Unleaded,4.6,V,douglass volkswagen,3100 Briarcrest Dr.,Bryan,TX,77802
5a82330c-75cf,4S2DM58W734302219,,141926.0,YC-302219,2003.0,Isuzu,Rodeo,S,SUV,Truck,4WD,Manual,Unleaded,3.2,V,your choice autos,3128 147th St,Posen,IL,60469.0
97c5343e-9100,1D7HU18D33J643807,,160000.0,555310A,2003.0,Dodge,Ram 1500 Pickup,ST,Pickup,Truck,4WD,Manual,Unleaded,5.7,V,duvall chrysler dodge jeep ram,464 Highway 441 S,Clayton,GA,30525.0
7f725e2d-53a6,JTEHT05J532040655,28990.0,165800.0,7147,2003.0,Toyota,Land Cruiser,Base,SUV,Truck,4WD,Automatic,Unleaded,4.7,V,m & m investment cars,2774 North Hayden Island Drive,Portland,OR,97217
cdd68af3-9a2d,JTEBT17R930024288,4995.0,255898.0,47832255D,2003.0,Toyota,4Runner,Limited,SUV,Truck,4WD,Automatic,Unleaded,4.7,V,leeds auto sales,221 S. Lake St.,Aurora,IL,60506
84f40f06-a36d,SHSRD78843U121790,5000.0,181598.0,3737,2003.0,Honda,CR-V,EX,SUV,Truck,4WD,Automatic,Unleaded,2.4,I,real mckoy auto,6350 Baltimore Avenue,Lansdowne,PA,19050
2126a14c-8b6f,1D4GP24343B139506,1999.0,146916.0,X1520XXB,2003.0,Dodge,Grand Caravan,SE,Minivan,Truck,FWD,Automatic,Unleaded,3.3,V,sheboygan auto group,3400 S. Business Drive,Sheboygan,WI,53081
b9cbb2d3-4c0e,1FMZU77EX3UC41434,8991.0,131326.0,FRPM-0746,2003.0,Ford,Explorer Sport Trac,XLT,Pickup,Truck,4WD,Automatic,Unleaded,4.0,V,royal pike motors,411 North Commerce Avenue,Front Royal,VA,22630.0
98e679b1-ac7d,1D4GP44373B295664,,205279.0,600127C,2003.0,Dodge,Grand Caravan,eL,Minivan,Truck,FWD,Automatic,Unleaded / E85,3.3,V,phil long ford,1212 Motor City Drive,Colorado Springs,CO,80905
976a2647-a5dc,1G1YY22G535122225,24900.0,37495.0,C122225,2003.0,Chevrolet,Corvette,Base,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,morrison motor company,1170 Old Charlotte Road,Concord,NC,28027
a506da90-eaa3,1GCHK231X4F140928,14995.0,238960.0,H2848A,2004.0,Chevrolet,Silverado 2500HD,LS,Pickup,Truck,4WD,Manual,Diesel,6.6,V,carville's auto mart,2507 Highway 6 50,Grand Junction,CO,81505
6f437765-0f01,1FMFU18L04LA85019,4000.0,150000.0,,2004.0,Ford,Expedition,Eddie Bauer,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,tred,220 Nw 8th Ave,Portland,OR,97209
afc89f00-276b,5J6YH27544L005922,6995.0,267601.0,P199,2004.0,Honda,Element,EX,SUV,Truck,4WD,Manual,Unleaded,2.4,I,carfellas of wilmington,6735 Market Street,Wilmington,NC,28405
bdfa82a4-d395,1GNEC13Z64R169980,,210462.0,7665,2004.0,Chevrolet,Tahoe,LS,SUV,Truck,RWD,Automatic,Unleaded / E85,5.3,V,first choice motors inc,4541 North 1St Street,Abilene,TX,79603
1e2d5ef1-16ed,1D7HA18D54S669636,,253883.0,4S669636,2004.0,Dodge,Ram 1500 Pickup,,Pickup,Truck,,,,,,vipwithtyler,13897 Greasy Valley Road,Prairie Grove,AR,72753
9ec2ee2f-fad7,JTEBU14R840042655,5990.0,195534.0,40042655,2004.0,Toyota,4Runner,SR5,SUV,Truck,4WD,Automatic,Unleaded,4.0,V,zeigler fiat of schaumburg,210 W Golf Rd,Schaumburg,IL,60195
ea46b03a-4d61,1HGES16634L018502,6500.0,74520.0,85282B,2004.0,Honda,Civic,LX,Sedan,Car,FWD,Automatic,Unleaded,1.7,I,jim coleman toyota,10400 Auto Park Ave,Bethesda,MD,20817
dba0de97-3592,JNKCV51F84M705740,,138097.0,41338,2004.0,INFINITI,G35,Base,Sedan,Car,4WD,Automatic,Premium Unleaded,3.5,V,asa auto plaza inc,1001 U.S. 71,Jackson,MN,56143
2e1eafd0-bdd0,1FTPW12524KB16371,8995.0,196104.0,478,2004.0,Ford,F-150,Lariat,Pickup,Truck,RWD,Automatic,Unleaded,5.4,V,with style auto sales,110 Raritan Ave,Highland Park,NJ,08904
818cce0d-71ad,1G1ZT54894F188394,2500.0,263887.0,P2868A,2004.0,Chevrolet,Malibu,LS,Sedan,Car,FWD,Automatic,Unleaded,3.5,V,tim short chrysler dodge jeep ram of corbin,14486 N Highway 25 E,Corbin,KY,40701
146923c0-9f8b,KMHWF25S54A065436,2995.0,102019.0,10188,2004.0,Hyundai,Sonata,Base,Sedan,Car,FWD,Automatic,Unleaded,,,deluxe auto sale inc,2256 N Cicero,Chicago,IL,60639
f9fe62bc-0e50,WBANA53524B848542,7696.0,130950.0,P2100200E,2004.0,BMW,5 Series,525i,Sedan,Car,RWD,Manual,Premium Unleaded,2.5,I,audi tucson,4646 E 22nd Street,Tucson,AZ,85711.0
8b14f578-ba50,1GTEC14X64Z128769,,242148.0,20T1392A,2004.0,GMC,Sierra 1500,SLE,Pickup,Truck,RWD,Automatic,Unleaded,4.3,V,"borgman ford sales, inc.",3150 28Th St S W,Grandville,MI,49418
807bea86-84a9,1LNHM83W34Y621046,,148987.0,B2294A,2004.0,Lincoln,Town Car,Ultimate,Sedan,Car,RWD,Automatic,Unleaded,4.6,V,westgate kia,10956 Star Rd,Wake Forest,NC,27587
b39cf0a4-e78f,1HGCM56604A096952,3500.0,164000.0,,2004.0,Honda,Accord,EX,Sedan,Car,FWD,Automatic,Unleaded,2.4,I,adams automart,4930 Wilshire Boulevard,Country Club Hills,IL,60478.0
26d4b533-5bca,1GKEC13Z14R176977,4971.0,162455.0,4R176977,2004.0,GMC,Yukon,SLE,SUV,Truck,RWD,Automatic,Unleaded / E85,5.3,V,group1 consolidated sister stores,800 Gressner,Houston,TX,77024
0647cd49-d43e,5N1ED28Y44C673079,6569.0,132392.0,S2249A,2004.0,Nissan,Xterra,XE,SUV,Truck,4WD,Automatic,Unleaded,3.3,V,green subaru,3861 Wabash Ave.,Springfield,IL,62711
02004293-51e1,1FTPX14564NA83819,6990.0,203601.0,48303B,2004.0,Ford,F-150,XLT,Pickup,Truck,4WD,Automatic,Unleaded,5.4,V,bommarito south county,6127 South Lindbergh Blvd,Saint Louis,MO,63123
34c48b80-91ec,1GCEC14T74Z131905,12000.0,119932.0,4Z131905,2004.0,Chevrolet,Silverado 1500,Work Truck,Pickup,Truck,RWD,Manual,Unleaded,5.3,V,mclarty daniel nissan,2501 Se Moberly Lane,Bentonville,AR,72712
071cce29-50ba,1FTSS34L64HA46867,4499.0,80000.0,CYC-A46867,2004.0,Ford,Econoline Van,Commercial,Cargo Van,Truck,RWD,Automatic,Unleaded,5.4,V,your choice autos,3128 W. 147th St,Posen,IL,60469
91897ae8-85b3,1D7HU18D84S598990,,196181.0,S11697A,2004.0,Dodge,Ram 1500 Pickup,Laramie,Pickup,Truck,4WD,Automatic,Unleaded,5.7,V,hubler auto center,1700 N. Main St,Rushville,IN,46173
b5b233b4-d7b8,2G1WW12E249436439,14900.0,15102.0,436439,2004.0,Chevrolet,Monte Carlo,LS,Coupe,Car,FWD,Automatic,Unleaded,3.4,V,country chevrolet,299 E State Rt 115,Herscher,IL,60941
a894c56d-8728,2GCEK19T341224313,13999.0,56000.0,,2004.0,Chevrolet,Silverado 1500,LT,Pickup,Truck,4WD,Automatic,Unleaded,5.3,V,north hills auto mall,820 Camp Horne Rd,Pittsburgh,PA,15237
46aeb0bc-76f8,1FMZU73K04ZA09778,4299.0,126570.0,EYC-A09778,2004.0,Ford,Explorer,XLT,SUV,Truck,4WD,Automatic,Unleaded / E85,4.0,V,your choice autos,3128 W. 147th St,Posen,IL,60469
529651ee-6d75,1HGES16514L013032,3995.0,147000.0,3032,2004.0,Honda,Civic,LX,Sedan,Car,FWD,Automatic,Unleaded,1.7,I,auto land,8905 Mathis Ave.,Manassas,VA,20110.0
d4048459-fff2,1G8AN12F34Z101445,3981.0,131469.0,4Z101445,2004.0,Saturn,ION,2,Coupe,Car,FWD,Automatic,Unleaded,2.2,I,runde ford,1221 W Main St,Manchester,IA,52057
4d52c0d0-17c4,1G6KD54Y74U174336,,171674.0,V404040A,2004.0,Cadillac,DeVille,Base,Sedan,Car,FWD,Automatic,Unleaded,4.6,V,castriota chevrolet,12930 Hwy 19,Hudson,FL,34667
e6030dd1-0e48,JTHBN36F440162371,10879.0,82209.0,X14496A,2004.0,Lexus,LS,430,Sedan,Car,RWD,Automatic,Premium Unleaded,4.3,V,central kia of plano,3401 N Central Expy,Plano,TX,75023.0
78a0b8cc-cbfd,1FTNX21P94EB55633,7900.0,247027.0,2483,2004.0,Ford,F-250 Super Duty,Lariat,Pickup,Truck,4WD,Manual,Diesel,6.0,V,paul spady motors inc,222 W 3rd Street,Hastings,NE,68901
5a5873f0-c618,3C8FY78G64T311775,,156254.0,1098,2004.0,Chrysler,PT Cruiser,GT,Mini Mpv,Car,FWD,Manual,Premium Unleaded,2.4,I,mad kustomz,3413 B Avenue,Gulfport,MS,39507
7ca0e0c9-31e8,3GKEC16Z64G235159,7500.0,169697.0,P617,2004.0,GMC,Yukon XL,SLE,SUV,Truck,RWD,Automatic,Unleaded,5.3,V,atlanta auto max,5506 Buford Highway,Norcross,GA,30071
8f7b37c3-a050,2HKYF18664H504108,4842.0,200588.0,701088A,2004.0,Honda,Pilot,EX,SUV,Truck,4WD,Automatic,Unleaded,3.5,V,napleton's schaumburg subaru,911 W Higgins Rd,Schaumburg,IL,60195
