"wk_strt_dt","guests.x","DIRECT_MAIL_S","PRINT_S","PAID_SEARCH_S","PRINT_CONSUMER_S","PRINT_TRADE_S","DISPLAY_ALL_PHD_S","DISPLAY_PHD","DISPLAY_ZIMM","DISPLAY_WITH_CC_S","DISPLAY_ZIMM_OTHER_S","DISPLAY_ALL_S","DISPLAY_PROGRAMMATIC_S","PAID_SOCIAL_S","DISPLAY_CRUISE_CRITIC_S","DISPLAY_S","OLV_S","Display.PHD_Programmatic.S","Search.Bing.Yahoo_S","Search.Google.AdWords_S","Social.FB_S","Social.Other_S","Display.Endemic_Luxury_S","Display.Endemic_Cruises_S2","Display_Other_S2","directmail_I","revenue","Connected_TV.Hulu.I","Connected_TV.Programmatic_Video.I","Display.Afar_Media._LLC.I","Display.Amazon.I","Display.Bloomberg.I","Display.Conde_Nast.I","Display.Cruise_Critic.I","Display.CruiseCritic.I","Display.Dot_Dash_Meredith.I","Display.Hulu.I","Display.Kargo.I","Display.Kerv.I","Display.Luxury_Link.I","Display.Martini_Media.I","Display.Meredith_Corporation.I","Display.Meredith_Interactive.I","Display.MyPoints._Inc.I","Display.Northstar_Travel_Group.I","Display.PHD_Programmatic.I","Display.Programmatic_Display.I","Display.Questex_Media_Group.I","Display.Robb_Report.I","Display.Sojern.I","Display.The_Wall_Street_Journal.I","Display.The_Wall_Street_Journal_Online.I","Display.Travel_And_Leisure.com.I","Display.Travel_Curator.I","Display.Travel_Relations.I","Display.Trip_Advisor.I","Display.Wall_Street_Journal.I","Display.Worth_International_Media.I","Display.Zefr.I","Display.demandbase.com.I","Online_Video.Amazon.I","Online_Video.Dot_Dash_Meredith.I","Online_Video.Kargo.I","Online_Video.NBC_Universal_._NBC_Sports.I","Online_Video.Northstar_Travel_Group.I","Online_Video.Programmatic_Video.I","Online_Video.Questex_Media_Group.I","Online_Video.Worth_International_Media.I","Online_Video.YouTube.I","Paid_Search.Bing_Ads.I","Paid_Search.Google_AdWords.I","Paid_Social.Facebook.I","Search.Bing_Ads.I","Search.Google_AdWords.I","Search.Yahoo_Gemini.I","Social.FB_IG.I","Social.Facebook.I","Social.Instagram.I","Social.LinkedIn.I","Social.Linkedin.I","Social.Pinterest.I","Connected_TV.Hulu.S","Connected_TV.Programmatic_Video.S","Display.Afar_Media._LLC.S","Display.Amazon.S","Display.Bloomberg.S","Display.Conde_Nast.S","Display.Cruise_Critic.S","Display.CruiseCritic.S","Display.Dot_Dash_Meredith.S","Display.Hulu.S","Display.Kargo.S","Display.Kerv.S","Display.Luxury_Link.S","Display.Martini_Media.S","Display.Meredith_Corporation.S","Display.Meredith_Interactive.S","Display.MyPoints._Inc.S","Display.Northstar_Travel_Group.S","Display.PHD_Programmatic.S.1","Display.Programmatic_Display.S","Display.Questex_Media_Group.S","Display.Robb_Report.S","Display.Sojern.S","Display.The_Wall_Street_Journal.S","Display.The_Wall_Street_Journal_Online.S","Display.Travel_And_Leisure.com.S","Display.Travel_Curator.S","Display.Travel_Relations.S","Display.Trip_Advisor.S","Display.Wall_Street_Journal.S","Display.Worth_International_Media.S","Display.Zefr.S","Display.demandbase.com.S","Online_Video.Amazon.S","Online_Video.Dot_Dash_Meredith.S","Online_Video.Kargo.S","Online_Video.NBC_Universal_._NBC_Sports.S","Online_Video.Northstar_Travel_Group.S","Online_Video.Programmatic_Video.S","Online_Video.Questex_Media_Group.S","Online_Video.Worth_International_Media.S","Online_Video.YouTube.S","Paid_Search.Bing_Ads.S","Paid_Search.Google_AdWords.S","Paid_Social.Facebook.S","Search.Bing_Ads.S","Search.Google_AdWords.S","Search.Yahoo_Gemini.S","Social.FB_IG.S","Social.Facebook.S","Social.Instagram.S","Social.LinkedIn.S","Social.Linkedin.S","Social.Pinterest.S","guests.y","google_trend_SBN","google_trend_COVID","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
2018-03-11,688,118468.4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109495,6483250.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,67,-1,0,0,0,0,0,0
2018-03-18,890,118468.4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109495,6290497.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,58,0,0,0,0,0,0,0
2018-03-25,763,118468.4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109495,6182443.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,64,-1,0,0,0,0,0,0
2018-04-01,665,95458.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63004.6,5006807.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,70,0,0,0,0,0,0,0
2018-04-08,729,95458.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63004.6,5220111.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,60,-1,0,0,0,0,0,0
2018-04-15,1272,95458.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63004.6,8501279.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,62,0,0,0,0,0,0,0
2018-04-22,757,95458.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63004.6,6489690.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,48,-1,0,0,0,0,0,0
2018-04-29,673,95458.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63004.6,11470923.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,70,0,0,0,0,0,0,0
2018-05-06,755,168617.4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149160.25,6643381.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,52,-1,0,0,0,0,0,0
2018-05-13,670,168617.4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149160.25,5830960.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,68,0,0,0,0,0,0,0
2018-05-20,598,168617.4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149160.25,6144133.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,68,-1,0,0,0,0,0,0
2018-05-27,593,168617.4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149160.25,6768731.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,60,0,0,0,0,0,0,0
2018-06-03,656,66389.8625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60419.25,6260602.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,67,0,0,0,0,0,0,0
2018-06-10,700,66389.8625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60419.25,6453701.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,73,-1,0,0,0,0,0,0
2018-06-17,650,66389.8625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60419.25,5626511.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,71,-1,0,0,0,0,0,0
2018-06-24,633,66389.8625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60419.25,5364580.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,70,0,0,0,0,0,0,0
2018-07-01,618,66604.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41911.4,7956757.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,74,-1,0,0,0,0,0,0
2018-07-08,620,66604.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41911.4,6152519.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,74,0,0,0,0,0,0,0
2018-07-15,629,66604.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41911.4,5037717.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,57,0,0,0,0,0,0,0
2018-07-22,610,66604.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41911.4,5722909.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,82,0,0,0,0,0,0,0
2018-07-29,742,66604.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41911.4,9769147.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,82,0,0,0,0,0,0,0
2018-08-05,735,162169.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85314,7360136.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,81,0,0,0,0,0,0,0
